nom,ville
Site de Benia constituant l'emplacement de l'ancienne ville d'Achir ? 4 Kms au sud ?ouest de Tletat Ed Douair Site/ Capitale/Med. (Tletat Ed Douair) ,Medea
Monuments fun?raires ?mergeant du sol de l'ancienne n?cropole Mon.Fun./Ant. (Djouab) ,Medea
Restes de maison d'enceinte de porte ? Rapidum Site/Ant (Djouab) ,Medea
Achir (palais de Ziri et le Menzeh bent Es Soltane) Demeures/Mod. (Kef Lakhdar) ,Medea
Dar El Bey d?nomm?e Dar EL Emir Abdelkader Mon.Commemor./Mod (M?d?a) ,Medea
Grande Mosqu?e Mon.de Culte/Islam. (Mostaganem) ,Mostaganem
Fort Et ?Tork (fort de l'Est) Fortif./Med. (Mostaganem) ,Mostaganem
Kal?a desBeni Hammad Site-Capitale/Med. (M?adid) ,M sila
Camps d'El Djorf Mon.P?nitencier/ Med. (Ouled Derradj) ,M sila
Ruines de l'Antique Aquae Sienses Ruines /Ant Bou Hanifia (El Hammamet) ,M sila
Mosqu?e au Douar d'El Guetna Mon.de Culte/Islam (Hacine) ,Mascara
Mosqu?e de Ain Beida Mon.de Culte/Islam (Mascara) ,Mascara
Mosqu?e Djema? El-Kebir Mon.de Culte/Islam (Mascara) ,Mascara
Mosqu?e Djema? El-Kebir Mon.de Culte/Islam (Mascara) ,Mascara
Ruines de la Zaouia de Sidi Mahieddine Ruines/Mon de Culte/Islam (Sidi-Kada) ,Mascara
Bains dits de ? Emir AbdeEl Kader Thermes/Mod (Sidi Kada) ,Mascara
Remparts en terre avec ses cr?neaux ruines concernant l'Emir Abdelkader Fortif./Mod (Sidi-Kada) ,Mascara
Bois d'oliviers pr?s des ruines se rapportant ? la tradition de l'Emir Abdelkader Site Naturel (Sidi-Kada) ,Mascara
Gisement pr?historique de Ternifine Site/ Pr?-His. (Tighenif) ,Mascara
Site de Dardara Site.Commemo./ (Mod Ghriss) ,Mascara
L'Etat Major de l'Emir Abdelkader Edif./Milite/Mod (Mascara) ,Mascara
Tribunal de l'Emir Abdelkader Edif./justice (Mascara) ,Mascara
Ruines de Sedrata Site/Capital/Islam. (Ouargla) ,Ouargla
Vall?e de l'Oued Djerat Site/Pr?-His. (Ouargla) ,Ouargla
Ksar de Ouargla Centre.Urb.Vivant. (Ouargla) ,Ouargla
Ksar de Temacine Centre.Urb.Vivant. (Temacine) ,Ouargla
Mus?e Saharien Demeure/.Trad. (Ouargla) ,Ouargla
Chapelle de Santa Cruz Mon.de Culte/Mod (Oran) ,Oran
Inscription de la rue du vieux ch?teau Epigraphe/Mod (Oran) ,Oran
Echauguette d'angle du mur d'enceinte du ch?teau neuf El?m.d'architec/ Mod (Oran) ,Oran
Collection pr?historique d?pos?e au mus?e d'(Oran) appartenant ? l'Etat Collect/Pr?-.Hist (Oran) ,Oran
Mosa?que provenant d'une maison de Bethioua d?pos?e au mus?e d'Oran appartenant ? l'Etat ?uvre d'art/Ant (Oran) ,Oran
Promenande de l'?tang Site Naturel (Oran) ,Oran
Site du Murdjadjo Site Naturel (Oran) ,Oran
Cimeti?re dit ? Des chol?riques ? au ravin de Ras El Ain Mon.Fun./Mod (Oran) ,Oran
Prison centrale d'Oran Mon.P?nitencier/ Mod (Oran) ,Oran
Merdoufa (site rupestre) Site/ .Pr?-.Hist (Gassoul) ,El Bayadh
Tassili N'Ajjer Parc culturel culturel (Djanet) ,Illizi
Ruines de l'ancienne cit? de Tihamamine Ruines/Ant (El Hammadia) ,Bordj Bou Arreridj
Fort Turc de Bordj El Bahri ( La P?rouse) Fortif./Med (Ain Taya) ,Boumerdes
Eglise d'El Kala Mon. de Culte/Mod (El Kala) ,El Tarf
Ruines du Bastion de France entre El Kala et Annaba Ruines /Mod (El Kala) ,El Tarf
Casbah de Bela?mach Centre.Urb.Vivant (Tindouf) ,Tindouf
Parcs nationaux d'Ain N'Sour et Theniet el Had Sites Naturels (Theniat El Had) ,Tindouf
Gisement de Columnata III Site.Pr?-Hist (Sidi Hosni) ,Tindouf
Zaouia Tidjania Mon. de Culte./Islam (Guemar) ,El Oued
Vall?e Oued Beni Barbar Site Naturel (Khenchela) ,Khenchela
Gorges de l'Oued El Arab Site Naturel (Khenchela) ,Khenchela
Grottes de Fringal Site Naturel (Khenchela) ,Khenchela
Village de Djellal Site Naturel (Djellal) ,Khenchela
Village de Tabardga Site Naturel (Charchar) ,Khenchela
Village de Tizigarine Site Naturel (Bouhmama) ,Khenchela
Site de Baghai Site /Med. (Baghai) ,Khenchela
Ksar d'El Djaz?a Mon.Fun. (El Mahmmel) ,Khenchela
Ruines du palais Byzantin Ruine/Ant (M'Daourouche) ,Souk Ahras
Mausol?e romain Mon.Fun./Ant (M'Daourouche) ,Souk Ahras
Territoires et monuments de l'Antique Thubusicum Numidarum Site /Ant (Khemissa) ,Souk Ahras
"Restes de citadelle, enceinte Byzantine de Tiffech ( (Tipaza) de Numidie) Ruine/Ant (Tiffech) ",Souk Ahras
Statues et fragments antiques d?pos?s au jardin de la commune ?uvres d'art/Ant (Souk-Ahras) ,Souk Ahras
Mausol?e Romain situ? sur un terrain domanial dans le Douar des Ouled Soukies ( Ksar El Ahmar) . Mon.Fun./Ant (Taoura) ,Souk Ahras
For?t de Ba?nem Site Naturel (Ain Benian) ,Tipaza
For?t de Ba?nem Site Naturel (Ch?raga) ,Tipaza
For?t de Sidi Ferruch Site Naturel (Staou?li) ,Tipaza
Extr?mit? Nord-Ouest de la presqu'?le Sidi Ferruch contenant des Ruines Romaines (Terrain militaire) Ruines /Ant (Staou?li) ,Tipaza
Citerne sous la caserne Ouv-Hydr/Ant (Cherchell) ,Tipaza
Restes des Thermes Ouest et Est Ruines /Ant (Cherchell) ,Tipaza
Restes de l'Amphith??tre El?m.de Mon.Spect/Ant (Cherchell) ,Tipaza
Chaire construite en l'an 981 de l'H?gire dans la mosqu?e El?m.de Mon. de Culte/Islam (Cherchell) ,Tipaza
Objets Antiques d?pos?s au mus?e de (Cherchell) appartenant ? l'Etat Collections/Ant (Cherchell) ,Tipaza
Acqueduc ? 5 Km de (Cherchell) Ouvr.Hydr/Ant (Cherchell) ,Tipaza
"Caid Youcef ,Ruines Romaines Ruines/Ant (Cherchell) ",Tipaza
Cap dit ? les Trois Il?ts ? Ruines /Ant (Cherchell) ,Tipaza
Mosqu?e des cents Colonnes.Cimeti?re d'El Ghobrini Mon.de Culte/Islam (Cherchell) ,Tipaza
Acqueduc antique ? Sidi Ammar Ouvr.Hydr/Ant (Sidi Ammar) ,Tipaza
Mausol?e royal de Maur?tanie (Tombeau de la Chr?tienne) Mon.Fun./Ant (Hadjout) ,Tipaza
Mosqu?e de la place romaine Mon.de Culte/Islam (Cherchell) ,Tipaza
Remparts Romains et Cimeti?re Punique Fortif. Et Mon.Fun/Ant (Hadjout) ,Tipaza
Ch?teau d'eau Ouvr.Hydr/Ant (Hadjout) ,Tipaza
Parcelles du terrain comprises entre la route du Phare et la mer Site Naturel (Tipaza) ,Tipaza
Place Publique Site Naturel (Tipaza) ,Tipaza
Restes du Th??tre El?m. De Mon.de Spect/Ant (Tipaza) ,Tipaza
Restes d'une Basilique et d'un Cimeti?re El?m. De Mon. Fun & Culte/Ant (Tipaza) ,Tipaza
Ruines d'un pr?toire Ruines /Ant (Tipaza) ,Tipaza
Sarcophage et Fragments Antiques El?m Fun/Ant (Tipaza) ,Tipaza
Ferme de Nador Ruines /Ant (Tipaza) ,Tipaza
Littoral de (Tipaza) comprenant les parcelles Site Naturel (Tipaza) ,Tipaza
Cascade de B?rard Site Naturel (Tipaza) ,Tipaza
Ancien Mus?e de (Cherchell) Edifice./Mod (Cherchell) ,Tipaza
Place des Martyrs Site Naturel (Cherchell) ,Tipaza
L'ensemble de l'Enceinte Romaine Fortif./Ant. (Cherchell) ,Tipaza
Il?t de Sidi Ali Ferhi (ex. Joinville) Site /Ant (Cherchell) ,Tipaza
N?cropole de l'Oued N'sara Mon.Fun./Ant (Cherchell) ,Tipaza
Pont Romain Ouvrage/Ant. (Cherchell) ,Tipaza
Tombeau de l'Oued El Kantara Mon.Fun./Ant. (Cherchell) ,Tipaza
Forum de (Cherchell) Place Pub./Ant. (Cherchell) ,Tipaza
Ain Ksiba Site/Ant. (Cherchell) ,Tipaza
Propri?t? Kaddour dit ? Boufarik ? R?serve Archeol./Ant (Cherchell) ,Tipaza
N?cropole de Djorf Torba Mon.Fun./Ant. (Ain S?fra) ,Naama
Traces de la Jument de Sidi Cheikh ? Theniet Azzia Site Naturel(Empreintes) (Ain Sefra) ,Naama
Ksar de Moghrar Tahtani Centre Urb. Vivant (Na?ma) ,Naama
Royaume Numide de Syphax ( Siga) Site/Capital/Ant. (Oulhassa) ,Ain Temouchent
Remparts de Beni Isguen Fortif./ Med. (Gharda?a) ,Ghardaia
Vall?e du M'zab Centre Urb.Vivant (Gharda?a) ,Ghardaia
Ksar de Metlili Centre Urb. Vibant (Metlili) ,Ghardaia
Ksar de Berriane et son Oasis Centre Urb. Vibant (Berriane) ,Ghardaia
Ksar de Guerrara et son Oasis Centre Urb. Vibant (Guerrara) ,Ghardaia
Vieux Ksar d'El M?nia? Centre Urb. Vibant (El Meniaa) ,Ghardaia
Ruines de Kaoua Ruines/Ant. (Ammi Moussa) ,Relizane
Centre des arts et de la culture du Palais Des Rais (Bastion 23) ,Alger
Centre National des Manuscrits,Adrar
Centre National des Etudes et Recherches  Pr?historiques Anthropologiques et Historiques ,Alger
Office du Parc National de l?AHAGGAR ,Tamanghasset
Office National de Gestion et d'Exploitation des Biens Culturels Prot?g?s ( ex. ANAPSMH) ,Alger
Parcs nationaux d'Ain N'Sour et Theniet el Had Sites Naturels (Theniat El Had) ,Tissemsilt
Th??tre de Bejaia,Bejaia
Th??tre r?gional AZZEDDINE MEDJOUBI de Annaba,Annaba
Th??tre r?gional de Batna (TRB),Batna
Th??tre r?gional de Sidi Bel Abb,Sidi Bel Abbes
"Mus?e National de l'enluminure, de la miniature et de la calligraphie",Alger
Mus?e National d'art moderne et contemporain ,Alger
Centre culturel Alg?rien ? Paris,<blank>
Centre culturel Alg?rien en ?gypte,Wilaya
Centre national de recherche en archeologie,Wilaya
OFFICE N ATIONAL DES DROITS D'AUTEURS,Alger
BALLET NATIONAL,Alger
Orchestre Symphonique National,Alger
Centre Alg?rien de la cin?matographie (Cin?matheque) ,Alger
Centre national de la cin?matographie et de l'audiovisuel (CNCA) (ex centre de diffusion) ,Alger
Office RIADH EL FETH,Alger
Ecole sup?rieure des beaux arts,Alger
Ecole R?gionale des Beaux Arts d'Oran,Oran
Ecole R?gionale des Beaux Arts de Constantine,Constantine
Ecole R?gionale des Beaux Arts de Batna,Batna
Ecole R?gionale des Beaux Arts de Azazga,Tizi Ouzou
Biblioth?que nationale d'Alg?rie,Alger
Ecole R?gionale des Beaux Arts de Mostaganem,Mostaganem
Institut sup?rieur des m?tiers des arts du spectacle et de l'audiovisuel,Alger
Institut national sup?rieur de musique ,Alger
Institut r?gional de formation musicale d'Alger,Alger
Institut r?gional de formation musicale de Batna,Batna
Institut r?gional de formation musicale de Bouira,Bouira
Institut r?gional de formation musicale d' Oran,Oran
Maison de culture Mostaganem,Mostaganem
Maison de culture El Oued ,El Oued
Maison de culture Djelfa ,Djelfa
Maison de culture Biskra ,Biskra
Maison de culture B?jaia ,Bejaia
Maison de culture Saida ,Saida
Maison de culture Laghouat ,Laghouat
Maison de culture Guelma,Guelma
Maison de culture Oum El Bouaghi,Oum el Bouaghi
Maison de culture Adrar,Adrar
Maison de culture Ouargla,Ouargla
Maison de culture Tamanrasset ,Tamanghasset
Maison de culture Tissemsilt,Tissemsilt
Maison de culture Batna ,Batna
Maison de culture Annaba,Annaba
Maison de culture Constantine,Constantine
Maison de culture Tlemcen ,Tlemcen
Maison de culture Tebessa ,Tebessa
Maison de culture Med,Medea
Maison de culture Oran,Oran
Maison de culture M'SILA ,M sila
Maison de culture Setif ,Setif
Maison de culture Bordj Bou Arreridj ,Bordj Bou Arreridj
Maison de culture Tizi Ouzou,Tizi Ouzou
Maison de culture El Bayadh ,El Bayadh
Maison de culture Mascara,Mascara
Maison de culture Ain Temouchent ,Ain Temouchent
Maison de culture Boumerdes,Boumerdes
Maison de culture Khenchela,Khenchela
Maison de culture B?char,Bechar
Maison de culture Illizi ,Illizi
Maison de culture Jijel,Jijel
Agence Algerienne pour le Rayonnement Culturel,Alger
Th??tre National Alg?rien,Alger
Th??tre R?gional d?Oran,Oran
Th??tre R?gional de Constantine ,Constantine
Th??tre R?gional de Tizi Ouzou (TRTO),Tizi Ouzou

