nom,ville
Stations abris de Bir Sedet Site/Pr?-.Hist. (Ch?ria) ,Tebessa
Garet Retba Site/Pr?-.Hist. (Ch?ria) ,Tebessa
Chabet Siboun Site/Pr?-.Hist. (Ch?ria) ,Tebessa
Damou kermaia Site/Pr?-.Hist. (Ch?ria) ,Tebessa
Fadje Relilai Mengart Site/Pr?-.Hist. (Ch?ria) ,Tebessa
Foum Relilai Menguebba Site/Pr?-.Hist (Ch?ria) ,Tebessa
Relilai Tlidjen Site/Pr?-.Hist (Ch?ria) ,Tebessa
Ruines antiques Ruines/Ant. (Morsott) ,Tebessa
Gorges de Bou Akkous Site Naturel (Morsott) ,Tebessa
Grottes de Bou Akkous Site Naturel (Morsott) ,Tebessa
Village de Youkous Site Naturel (Hammamet) ,Tebessa
Arc de Caracalla Mon.Honorif/ Ant (Tebessa) ,Tebessa
Amphith??tre Mon de spectacle/Ant (Tebessa) ,Tebessa
Mur d'Epoque Byzantine Fortif./Ant. (Tebessa) ,Tebessa
Basilique Mon. De culte/Ant. (Tebessa) ,Tebessa
Quartier de la Zaouia ( Fouilles) Site en fouille/Ant (Tebessa) ,Tebessa
Territoires et Monuments Antiques de Th?veste Site et Mon./Ant. (Tebessa) ,Tebessa
Temple Romain de Tebessa Khalia Mon de Culte/Ant. (Tebessa) ,Tebessa
Tour du Djebel Mestiri Mon. Surveil/Ant. (Tebessa) ,Tebessa
Cimeti?re de l'?cole du Dr. S?adane Mon. Fun/Ant. (Tebessa) ,Tebessa
L'huilerie de Brizgane Ouvrage.Indus/Ant. (El-Ma-El-Biodh) ,Tebessa
Port de Honain Mon./Med (Honain) ,Tlemcen
Rempart de la Casbah Fortif./Med. (Nedroma) ,Tlemcen
Bain Maure Thermes/Med (Nedroma) ,Tlemcen
Mosqu?e des Gueddarines Mon.culte/Islam. (Nedroma) ,Tlemcen
Mosqu?e de Sidi-Mendil Mon.culte/Islam (Nedroma) ,Tlemcen
Grande Mosqu?e Mon.culte/Islam (Nedroma) ,Tlemcen
Marabout de Sidi Brahim Mon. Fun /Islam (Nedroma) ,Tlemcen
Mausol?e de Sidi-Bouali Mon. Fun /Islam (Nedroma) ,Tlemcen
Gisement du lac Karar Site/Pr?-.Hist. (Remchi) ,Tlemcen
Mosqu?e de Beni Snous Mon.culte/Islam (Remchi) ,Tlemcen
Village de Tafessera Site Naturel (Remchi) ,Tlemcen
Village de Tleta Site Naturel (Remchi) ,Tlemcen
Village de Sahra Site Naturel (Remchi) ,Tlemcen
Mosqu?e de Khemis Mon.culte/Islam (Remchi) ,Tlemcen
Mosqu?e de Sidi Bou Ishaq Tayar Mon.culte/Islam (Tlemcen) ,Tlemcen
Ruines et minaret au cimeti?re de sidi Senouci ? El Obbad Ruines/Med. (Tlemcen) ,Tlemcen
Grande mosqu?e et d?pendance : Minaret de la Mosqu?e Mon de culte/Islam. (Tlemcen) ,Tlemcen
Sidi-Belhassen Rachidi Mon.fun/ Islam. (Tlemcen) ,Tlemcen
Minaret de la Mosqu?e Sidi-Hac?ne El?ment de Mon de Culte/Islam (Tlemcen) ,Tlemcen
Mosqu?e de Sidi Boumedi?ne et d?pendances :Medersas. Kouba latrines publiques bains ,Tlemcen
Maison de l'Oukil et des p?lerins Mon deCulte/ Islam (Tlemcen) ,Tlemcen
Mosqu?e de Si-Bel- Hassen Mon deCulte/ Islam (Tlemcen) ,Tlemcen
Mosqu?e de Lala Erroyat Rue des Almohades Mon deCulte/ Islam (Tlemcen) ,Tlemcen
Mosqu?e de Sidi-Senoussi (rue de Mascara) Mon deCulte/ Islam (Tlemcen) ,Tlemcen
Mosqu?e du Mechouar Mon deCulte/ Islam (Tlemcen) ,Tlemcen
Mosqu?e Bab Zir et deux Marabouts du cimeti?re d'El Obbad Es Soufli Mon deCulte et Mon Fun (Tlemcen) ,Tlemcen
